solution_id,objective,stored,replayed,matches
formal-run-01-CCP30-solution-0065,cost,11996343.506649114,11996343.506649114,True
formal-run-01-CCP30-solution-0065,emission,9447217055.576508,9447217055.576508,True
formal-run-01-CCP30-solution-0065,makespan,554.5387058180277,554.5387058180277,True
formal-run-01-CCP30-solution-0066,cost,12005042.08027843,12005042.08027843,True
formal-run-01-CCP30-solution-0066,emission,9606742177.591648,9606742177.591648,True
formal-run-01-CCP30-solution-0066,makespan,537.1057664957777,537.1057664957777,True
formal-run-01-CCP30-solution-0068,cost,11968461.979319016,11968461.979319016,True
formal-run-01-CCP30-solution-0068,emission,10248502259.334915,10248502259.334915,True
formal-run-01-CCP30-solution-0068,makespan,528.5010677514558,528.5010677514558,True
formal-run-01-CCP30-solution-0069,cost,12000857.846715277,12000857.846715277,True
formal-run-01-CCP30-solution-0069,emission,10115547970.252934,10115547970.252934,True
formal-run-01-CCP30-solution-0069,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0070,cost,11876467.893842733,11876467.893842733,True
formal-run-01-CCP30-solution-0070,emission,9779279779.912914,9779279779.912914,True
formal-run-01-CCP30-solution-0070,makespan,554.1162728227106,554.1162728227106,True
formal-run-01-CCP30-solution-0071,cost,11997473.019812675,11997473.019812675,True
formal-run-01-CCP30-solution-0071,emission,10211947462.595808,10211947462.595808,True
formal-run-01-CCP30-solution-0071,makespan,528.5010677514558,528.5010677514558,True
formal-run-01-CCP30-solution-0072,cost,12181659.069090681,12181659.069090681,True
formal-run-01-CCP30-solution-0072,emission,9380423911.610935,9380423911.610935,True
formal-run-01-CCP30-solution-0072,makespan,552.8716169976149,552.8716169976149,True
formal-run-01-CCP30-solution-0073,cost,12016790.78029575,12016790.78029575,True
formal-run-01-CCP30-solution-0073,emission,9607810679.989841,9607810679.989841,True
formal-run-01-CCP30-solution-0073,makespan,533.1477939747391,533.1477939747391,True
formal-run-01-CCP30-solution-0074,cost,12189941.544898828,12189941.544898828,True
formal-run-01-CCP30-solution-0074,emission,9336015491.134892,9336015491.134892,True
formal-run-01-CCP30-solution-0074,makespan,555.2163586788495,555.2163586788495,True
formal-run-01-CCP30-solution-0075,cost,11836448.950507876,11836448.950507876,True
formal-run-01-CCP30-solution-0075,emission,9847602651.010523,9847602651.010523,True
formal-run-01-CCP30-solution-0075,makespan,570.7493163123478,570.7493163123478,True
formal-run-01-CCP30-solution-0076,cost,11924825.42724164,11924825.42724164,True
formal-run-01-CCP30-solution-0076,emission,9708561675.23312,9708561675.23312,True
formal-run-01-CCP30-solution-0076,makespan,533.1477939747391,533.1477939747391,True
formal-run-01-CCP30-solution-0077,cost,11842734.524539033,11842734.524539033,True
formal-run-01-CCP30-solution-0077,emission,9982967946.460573,9982967946.460573,True
formal-run-01-CCP30-solution-0077,makespan,536.6461741697174,536.6461741697174,True
formal-run-01-CCP30-solution-0078,cost,12042346.827078233,12042346.827078233,True
formal-run-01-CCP30-solution-0078,emission,9324509964.922525,9324509964.922525,True
formal-run-01-CCP30-solution-0078,makespan,574.7027832522273,574.7027832522273,True
formal-run-01-CCP30-solution-0080,cost,11916409.43449624,11916409.43449624,True
formal-run-01-CCP30-solution-0080,emission,10259301037.288403,10259301037.288403,True
formal-run-01-CCP30-solution-0080,makespan,529.6824374078126,529.6824374078126,True
formal-run-01-CCP30-solution-0081,cost,11859925.152159266,11859925.152159266,True
formal-run-01-CCP30-solution-0081,emission,9826771287.536966,9826771287.536966,True
formal-run-01-CCP30-solution-0081,makespan,554.5387058180277,554.5387058180277,True
formal-run-01-CCP30-solution-0082,cost,11974058.036145508,11974058.036145508,True
formal-run-01-CCP30-solution-0082,emission,10149086518.653719,10149086518.653719,True
formal-run-01-CCP30-solution-0082,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0083,cost,11944941.312168371,11944941.312168371,True
formal-run-01-CCP30-solution-0083,emission,9633355037.948551,9633355037.948551,True
formal-run-01-CCP30-solution-0083,makespan,554.1162728227106,554.1162728227106,True
formal-run-01-CCP30-solution-0084,cost,11992939.73183173,11992939.73183173,True
formal-run-01-CCP30-solution-0084,emission,9477828383.805056,9477828383.805056,True
formal-run-01-CCP30-solution-0084,makespan,555.2163586788495,555.2163586788495,True
formal-run-01-CCP30-solution-0085,cost,12239795.13526145,12239795.13526145,True
formal-run-01-CCP30-solution-0085,emission,9366353983.782352,9366353983.782352,True
formal-run-01-CCP30-solution-0085,makespan,553.1831612151473,553.1831612151473,True
formal-run-01-CCP30-solution-0086,cost,11986419.260201288,11986419.260201288,True
formal-run-01-CCP30-solution-0086,emission,10128478461.714233,10128478461.714233,True
formal-run-01-CCP30-solution-0086,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0087,cost,12028622.455931013,12028622.455931013,True
formal-run-01-CCP30-solution-0087,emission,9697890533.478947,9697890533.478947,True
formal-run-01-CCP30-solution-0087,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0088,cost,11931905.822584046,11931905.822584046,True
formal-run-01-CCP30-solution-0088,emission,9643409199.076292,9643409199.076292,True
formal-run-01-CCP30-solution-0088,makespan,554.1162728227106,554.1162728227106,True
formal-run-01-CCP30-solution-0089,cost,11847039.49509212,11847039.49509212,True
formal-run-01-CCP30-solution-0089,emission,9835203531.490755,9835203531.490755,True
formal-run-01-CCP30-solution-0089,makespan,554.5387058180277,554.5387058180277,True
formal-run-01-CCP30-solution-0090,cost,11872184.364662062,11872184.364662062,True
formal-run-01-CCP30-solution-0090,emission,9749501867.142914,9749501867.142914,True
formal-run-01-CCP30-solution-0090,makespan,554.5387058180277,554.5387058180277,True
formal-run-01-CCP30-solution-0091,cost,11987423.995195774,11987423.995195774,True
formal-run-01-CCP30-solution-0091,emission,9606095324.223392,9606095324.223392,True
formal-run-01-CCP30-solution-0091,makespan,538.3877641078334,538.3877641078334,True
formal-run-01-CCP30-solution-0092,cost,12095286.258218337,12095286.258218337,True
formal-run-01-CCP30-solution-0092,emission,9339304717.82825,9339304717.82825,True
formal-run-01-CCP30-solution-0092,makespan,555.8999225371107,555.8999225371107,True
formal-run-01-CCP30-solution-0093,cost,11967821.673172656,11967821.673172656,True
formal-run-01-CCP30-solution-0093,emission,9472208136.852766,9472208136.852766,True
formal-run-01-CCP30-solution-0093,makespan,562.9002955865794,562.9002955865794,True
formal-run-01-CCP30-solution-0094,cost,12010705.345638793,12010705.345638793,True
formal-run-01-CCP30-solution-0094,emission,9556542001.347528,9556542001.347528,True
formal-run-01-CCP30-solution-0094,makespan,552.8716169976149,552.8716169976149,True
formal-run-01-CCP30-solution-0095,cost,11804002.395949503,11804002.395949503,True
