solution_id,S,objective,seeds,mean_coverage,sd_coverage,q90_mean,q90_sd
formal-run-01-CCP30-solution-0025,100,cost,10,0.8859600000000001,0.03595748106367357,11919977.962757867,49398.46107148158
formal-run-01-CCP30-solution-0025,100,emission,10,0.88978,0.02569901857183569,9941399703.999805,1530349.7663702662
formal-run-01-CCP30-solution-0025,100,makespan,10,0.8807799999999999,0.01950531551483679,572.1108004853038,0.37066840991804734
formal-run-01-CCP30-solution-0025,300,cost,10,0.8999600000000001,0.014264423499664397,11934522.49259996,24886.295944703154
formal-run-01-CCP30-solution-0025,300,emission,10,0.8917200000000001,0.01664243571916884,9941453497.303085,983722.8497952808
formal-run-01-CCP30-solution-0025,300,makespan,10,0.9024800000000001,0.00927515199036892,572.5304212191293,0.1925471091087654
formal-run-01-CCP30-solution-0026,30,cost,10,0.88584,0.06305770197032062,12209816.018585876,135676.9249918771
formal-run-01-CCP30-solution-0026,30,emission,10,0.8723600000000001,0.04114784184971175,9519961947.18564,2286728.765795696
formal-run-01-CCP30-solution-0026,30,makespan,10,0.8818999999999999,0.04233719142524426,566.0407986789285,16.54771868191962
formal-run-01-CCP30-solution-0026,100,cost,10,0.90138,0.02703601712941872,12221515.1908237,60945.67588320952
formal-run-01-CCP30-solution-0026,100,emission,10,0.8886199999999999,0.022638305786628298,9520839846.517767,1377624.1049554436
formal-run-01-CCP30-solution-0026,100,makespan,10,0.8939199999999999,0.020906181967170485,570.3589397627954,7.557178132207094
formal-run-01-CCP30-solution-0026,300,cost,10,0.8967400000000001,0.020019557104658123,12208419.73915665,44157.25815895899
formal-run-01-CCP30-solution-0026,300,emission,10,0.8920399999999999,0.014734328774818513,9521006620.356546,957428.6474843356
formal-run-01-CCP30-solution-0026,300,makespan,10,0.9019400000000001,0.011582764974065747,573.3404857373656,2.7439243751388096
formal-run-01-CCP30-solution-0027,30,cost,10,0.8829200000000001,0.06337494773173385,12056309.161482453,130038.06085737943
formal-run-01-CCP30-solution-0027,30,emission,10,0.8741,0.03363652115715232,9539792957.292805,1890516.1317072413
formal-run-01-CCP30-solution-0027,30,makespan,10,0.88538,0.047386397485635764,572.6558879106221,2.912609831896463
formal-run-01-CCP30-solution-0027,100,cost,10,0.9013399999999999,0.026620969178450273,12069320.375770576,57232.24110246166
formal-run-01-CCP30-solution-0027,100,emission,10,0.89018,0.02624270480639439,9540694719.040714,1674490.2328559805
formal-run-01-CCP30-solution-0027,100,makespan,10,0.8879999999999999,0.024358981916328116,572.9062254261756,0.6557344725921106
formal-run-01-CCP30-solution-0027,300,cost,10,0.89632,0.02048787175108455,12056252.100126503,40609.398941734034
formal-run-01-CCP30-solution-0027,300,emission,10,0.8915200000000001,0.01652397584656239,9540734633.186125,1013530.1760823703
formal-run-01-CCP30-solution-0027,300,makespan,10,0.9033200000000001,0.011608502630974144,573.2638587461117,0.4211036896944509
formal-run-01-CCP30-solution-0028,30,cost,10,0.8694,0.06727020142678332,11925254.700343188,90095.6599862517
formal-run-01-CCP30-solution-0028,30,emission,10,0.8709199999999999,0.03600792505361379,9981804123.5402,2065735.281054601
formal-run-01-CCP30-solution-0028,30,makespan,10,0.8823000000000001,0.0349687161776224,560.1429543693878,14.326845709017356
formal-run-01-CCP30-solution-0028,100,cost,10,0.88268,0.03773312131860344,11930092.06989755,48290.29915402925
formal-run-01-CCP30-solution-0028,100,emission,10,0.8934600000000001,0.024041824667302907,9983118591.077816,1580047.0214043432
