solution_id,decision_fingerprint,role,seed,S,objective,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,30,emission,9282704526.49349,9284061829.158255,-1357302.6647644043,-0.014619707297742814,0.8768,0.12319999999999998,-2.32,2.32
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,30,makespan,573.3583749263585,574.1245657356735,-0.7661908093150487,-0.13345375812882432,0.89,0.10999999999999999,-1.0000000000000009,1.0000000000000009
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,100,cost,12257428.994409833,12277567.137072625,-20138.142662791535,-0.16402388549750688,0.887,0.11299999999999999,-1.3000000000000012,1.3000000000000012
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,100,emission,9283679993.590437,9284061829.158255,-381835.567817688,-0.0041128072479920934,0.8934,0.10660000000000003,-0.660000000000005,0.660000000000005
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,100,makespan,572.7660157490451,574.1245657356735,-1.358549986628418,-0.2366298304772232,0.874,0.126,-2.6000000000000023,2.6000000000000023
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,300,cost,12311961.665147861,12277567.137072625,34394.52807523683,0.2801412339369835,0.9134,0.08660000000000001,1.3399999999999967,1.3399999999999967
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,300,emission,9282874465.984247,9284061829.158255,-1187363.1740074158,-0.012789263965027567,0.879,0.121,-2.100000000000002,2.100000000000002
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,300,makespan,573.3583749263585,574.1245657356735,-0.7661908093150487,-0.13345375812882432,0.89,0.10999999999999999,-1.0000000000000009,1.0000000000000009
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,30,cost,12201759.264358856,12260090.711344061,-58331.446985205635,-0.4757831598361055,0.862,0.138,-3.8000000000000034,3.8000000000000034
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,30,emission,9314908890.143791,9314586222.906872,322667.2369194031,0.0034641070381192514,0.9048,0.09519999999999995,0.48000000000000265,0.48000000000000265
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,30,makespan,573.9849348534768,572.7415744418269,1.2433604116499737,0.21708925406047355,0.9118,0.08819999999999995,1.1800000000000033,1.1800000000000033
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,100,cost,12262082.858905086,12260090.711344061,1992.1475610248744,0.01624904421940021,0.902,0.09799999999999998,0.20000000000000018,0.20000000000000018
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,100,emission,9314715031.493395,9314586222.906872,128808.58652305603,0.001382869656692681,0.9022,0.0978,0.21999999999999797,0.21999999999999797
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,100,makespan,572.1190525901847,572.7415744418269,-0.6225218516422046,-0.1086915773922806,0.8878,0.11219999999999997,-1.2199999999999989,1.2199999999999989
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,300,cost,12277484.682371443,12260090.711344061,17393.971027381718,0.14187473353102814,0.9078,0.09219999999999995,0.7800000000000029,0.7800000000000029
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,300,emission,9313170079.125864,9314586222.906872,-1416143.7810077667,-0.015203507135133054,0.8794,0.12060000000000004,-2.0600000000000063,2.0600000000000063
formal-run-01-CCP30-solution-0239,ef9ad047308cc7033ff14602b5402fb70560bcf3d2234f4373047813fe504e7a,independent_reestimate,940008,300,makespan,572.1958939971787,572.7415744418269,-0.5456804446481556,-0.09527515881485571,0.8906,0.10940000000000005,-0.9400000000000075,0.9400000000000075
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,30,cost,11899736.621294927,11995772.502519745,-96035.88122481853,-0.8005810480704425,0.8252,0.17479999999999996,-7.479999999999998,7.479999999999998
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,30,emission,9735302694.876974,9736257344.294195,-954649.4172210693,-0.00980509638830088,0.886,0.11399999999999999,-1.4000000000000012,1.4000000000000012
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,30,makespan,572.9010884768152,572.4182364813093,0.48285199550582547,0.08435300707293095,0.9074,0.09260000000000002,0.7399999999999962,0.7399999999999962
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,100,cost,11946833.290432561,11995772.502519745,-48939.21208718419,-0.40797049191208296,0.8642,0.13580000000000003,-3.5800000000000054,3.5800000000000054
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,100,emission,9736301136.331724,9736257344.294195,43792.0375289917,0.00044978307352008774,0.9004,0.09960000000000002,0.039999999999995595,0.039999999999995595
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,100,makespan,571.5661301251033,572.4182364813093,-0.8521063562060363,-0.14886079825897708,0.8826,0.11739999999999995,-1.739999999999997,1.739999999999997
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,300,cost,12012783.47961317,11995772.502519745,17010.977093424648,0.14180810022740464,0.9124,0.08760000000000001,1.2399999999999967,1.2399999999999967
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,300,emission,9735314053.877865,9736257344.294195,-943290.4163303375,-0.009688429372536464,0.886,0.11399999999999999,-1.4000000000000012,1.4000000000000012
formal-run-01-CCP30-solution-0240,e978119fd64fa5e369a9a78932fc8c1fade49d6c936cda76530e602fb902f4ed,independent_reestimate,940008,300,makespan,571.9737373537632,572.4182364813093,-0.4444991275461234,-0.0776528592587279,0.8902,0.10980000000000001,-0.9800000000000031,0.9800000000000031
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,30,cost,12033520.575448407,12169563.77421095,-136043.1987625435,-1.1178970856033354,0.8114,0.1886,-8.860000000000001,8.860000000000001
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,30,emission,9412998890.364847,9412862064.804533,136825.56031417847,0.0014536020964949707,0.9016,0.09840000000000004,0.15999999999999348,0.15999999999999348
