candidate,candidate_name,candidate_label,level,seed,route_change_ratio,cost,emission_gCO2,time_h,penalty,feasible,total_teu,on_time_rate,infeasible_teu,late_teu_h,late_h_per_teu,p90_lateness_h,p95_lateness_h,max_border_util,border_cap_excess,arc_cap_excess,runtime_s,wall_s,pareto_size,final_feasible_ratio,final_feasible_ratio_strict,boost_gens_triggered,boost_new_feasible_total,scenario_params_json,cost_delta_rel,time_delta_rel,emission_delta_rel,on_time_drop,late_h_per_teu_delta,p95_lateness_delta_h
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,high,99,0.9206657449701073,11692085.151097583,14496577759.24503,467.83142857142855,0.0,True,4455.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9902633458139586,0.0,0.0,12.231097792740911,12.349300362169743,4,1.0,1.0,44,9,"{""candidate"": ""C2"", ""level"": ""high"", ""mean_multiplier"": 1.2913227294381582, ""time_spread"": 0.6}",0.027033771350788875,0.0,0.05286040961962155,-0.019528619528619506,-0.0552938912938908,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,low,2026,0.8337114980731097,11464502.58671916,14204370416.823647,467.83142857142855,1126157142.8571424,False,4455.0,0.978675645342312,0.0,1126.1571428571424,0.25278499278499267,0.0,0.0,0.9837521404961237,0.0,0.0,13.503810598980635,13.621311018243432,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""low"", ""mean_multiplier"": 1.0726083692834305, ""time_spread"": 0.15}",-0.007641624047039653,0.0,-0.009892514744730194,0.021324354657688005,0.25278499278499267,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,low,7,0.8519552015405012,11418448.488388829,13942615126.341251,467.0571428571428,1126157142.8571424,False,4455.0,0.978675645342312,0.0,1126.1571428571424,0.25278499278499267,0.0,0.0,0.994,0.0,0.0,14.3596390360035,14.476374646183103,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""low"", ""mean_multiplier"": 1.0724242522848033, ""time_spread"": 0.15}",-0.023942875436893215,-0.0016550527967949607,-0.05857889295810611,-0.0060606060606061,0.25075068141734735,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,low,99,0.8045288960062317,11383970.992966156,13991020389.900188,471.47714285714284,0.0,True,4455.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.9173564270078446,0.0,0.0,12.71256502205506,12.82970556197688,2,1.0,1.0,45,4,"{""candidate"": ""C3"", ""level"": ""low"", ""mean_multiplier"": 1.068308385559522, ""time_spread"": 0.15}",-3.1002959598879164e-05,0.007792794718488357,0.016142685766819733,-0.019528619528619284,-0.0552938912938908,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,medium,2026,0.8391318288217746,11497871.839601973,13952955741.454212,465.19714285714286,1126157142.8571424,False,4455.0,0.978675645342312,0.0,1126.1571428571424,0.25278499278499267,0.0,0.0,0.9802382969106482,0.0,0.0,12.346227078232914,12.464346190914512,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""medium"", ""mean_multiplier"": 1.1442094163139092, ""time_spread"": 0.3}",-0.004753207620154135,-0.00563084383263806,-0.02741723035560099,0.021324354657688005,0.25278499278499267,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,medium,7,0.8635393864623663,11287559.8411744,13802826842.307056,467.83142857142855,31859999.999997627,False,4455.0,0.9811447811447811,0.0,31.859999999997626,0.007151515151514618,0.0,0.0,0.9944444444444445,0.0,0.0,14.229374493006617,14.368250783067197,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""medium"", ""mean_multiplier"": 1.1507614510954802, ""time_spread"": 0.3}",-0.03513133039800128,0.0,-0.06801755564186135,-0.008529741863075202,0.005117203783869321,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,medium,99,0.7809285887043501,11484062.952755034,14207300871.679413,467.83142857142855,9062857.142859798,False,4455.0,0.9726150392817056,0.0,9.062857142859798,0.002034311367645297,0.0,0.0,0.9387486973656565,0.0,0.0,14.063609462697059,14.200849365908653,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""medium"", ""mean_multiplier"": 1.150585444835, ""time_spread"": 0.3}",0.00876108344889023,0.0,0.03185074876076199,0.007856341189674931,-0.0532595799262455,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,high,2026,0.8970474229498248,11897234.430231677,15370755106.849808,467.98380952380955,7027910.052912112,False,4455.0,0.9787639772207672,0.0,7.027910052912112,0.0015775331207434596,0.0,0.0,0.9825673089428232,0.0,0.0,15.145751378964633,15.261653979774565,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""high"", ""mean_multiplier"": 1.2456968924005105, ""time_spread"": 0.5}",0.029815305828720582,0.0003257176475858401,0.07140966045863192,0.021236022779232755,0.0015775331207434596,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,high,7,0.8457897387866131,11064205.645168418,12922973545.942842,467.83142857142855,9062857.142859798,False,4455.0,0.9726150392817059,0.0,9.062857142859798,0.002034311367645297,0.0,0.0,0.932,0.0,0.0,13.50079699466005,13.620297372806817,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""high"", ""mean_multiplier"": 1.254769408571142, ""time_spread"": 0.5}",-0.05422380644975111,0.0,-0.12742624309338246,0.0,0.0,0.0
C3,terminal_transshipment_time,Terminal/transshipment handling time uncertainty,high,99,0.8225934971194584,11540624.945226073,14256578420.511614,467.83142857142855,960026691.305747,False,4455.0,0.9822297044519268,0.0,938.4642857142853,0.21065416065416057,0.0,0.0,1.0008624962236585,0.43124811182923395,0.0,12.596723492722958,12.713202382903546,0,0.0,0.0,50,0,"{""candidate"": ""C3"", ""level"": ""high"", ""mean_multiplier"": 1.2346671403619285, ""time_spread"": 0.5}",0.013729493761672904,0.0,0.03542968863955061,-0.0017583239805463169,0.15536026936026975,0.0
