solution_id,decision_fingerprint,seed,S,objective,histogram_bins,histogram_smoothing,js_distance,js_divergence,wasserstein,wasserstein_normalized,wasserstein_scale,wasserstein_scale_basis,ks_statistic,kl_sample_to_oos,kl_oos_to_sample,symmetric_kl,sample_mean,oos_mean,mean_signed_error_pct,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,100,cost,20,0.5,0.12737931727674767,0.01622549046989035,44603.06105644124,0.13301976937917026,335311.5199688934,oos_iqr,0.14559999999999998,0.07324735296597117,0.06294074304801024,0.0680940480069907,11945259.913518796,11912952.085836947,0.27119917421861256,12322256.24060521,12261162.385032205,61093.855573005974,0.49827131926403817,0.9232,0.07679999999999998,2.32,2.32
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,100,emission,20,0.5,0.12300571327407234,0.015130405498063297,843903.1013289446,0.08142630813233345,10364010.36330223,oos_iqr,0.06320000000000003,0.06911920617205629,0.05799189384273947,0.06355555000739788,9276160177.147545,9276445270.8528,-0.0030733076833999286,9291442237.353416,9288517772.371304,2924464.9821128845,0.031484732589000426,0.9392,0.060799999999999965,3.9200000000000013,3.9200000000000013
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,100,makespan,20,0.5,0.11252312766048068,0.012661454258496834,4.579822510163415,0.08365922682731708,54.74378241167267,oos_iqr,0.06459999999999999,0.06813409945768685,0.046956713949300066,0.05754540670349346,528.2373163716776,525.1242540228226,0.5928239507139033,575.6709358047206,573.5401847221309,2.1307510825896543,0.3715085950990447,0.9212,0.07879999999999998,2.1199999999999997,2.1199999999999997
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,300,cost,20,0.5,0.0974949496852172,0.009505265214123034,22040.75142181213,0.06573216280745986,335311.5199688934,oos_iqr,0.08253333333333335,0.03938302798080856,0.03808981513691746,0.03873642155886301,11926560.224507306,11912952.085836947,0.11422977757576336,12240372.751753459,12261162.385032205,-20789.633278746158,-0.16955678936382956,0.8878,0.11219999999999997,-1.2199999999999989,1.2199999999999989
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,300,emission,20,0.5,0.08134008628317295,0.006616209636554021,847155.0956564207,0.08174008573516092,10364010.36330223,oos_iqr,0.0659333333333334,0.032215239372387815,0.024390241177715984,0.028302740275051898,9275974376.94501,9276445270.8528,-0.005076232263997905,9288951387.358294,9288517772.371304,433614.986989975,0.004668290437897021,0.907,0.09299999999999997,0.7000000000000006,0.7000000000000006
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,300,makespan,20,0.5,0.08236386831899613,0.006783806804468934,3.8569354587368068,0.07045431076962663,54.74378241167267,oos_iqr,0.049866666666666726,0.028310360487206424,0.028329609480684304,0.028319984983945362,527.3997570879915,525.1242540228226,0.4333265979883677,573.5958684342834,573.5401847221309,0.05568371215247225,0.009708772573529426,0.9014,0.09860000000000002,0.13999999999999568,0.13999999999999568
formal-run-01-CCP30-solution-0117,566725729fb5dd2a4faf50105129897920e9b8d4c0461b057484fb44f32e8a6e,940005,30,cost,20,0.5,0.2585164672579581,0.06683076384353492,36646.29921277435,0.12638110339436248,289966.60282686725,oos_iqr,0.1538,0.32564039007517187,0.28634533700903586,0.30599286354210387,11700068.548528057,11674110.903574672,0.22235222166200797,11991816.276690645,11984897.310584156,6918.966106489301,0.057730708300512454,0.9026,0.09740000000000004,0.25999999999999357,0.25999999999999357
formal-run-01-CCP30-solution-0117,566725729fb5dd2a4faf50105129897920e9b8d4c0461b057484fb44f32e8a6e,940005,30,emission,20,0.5,0.2249985904146042,0.050624365688558826,1864615.8783434401,0.18732836598407637,9953729.476837158,oos_iqr,0.20840000000000003,0.2134117095830982,0.2490339479650061,0.23122282877405215,9807763447.328402,9809585572.61616,-0.018574946660788683,9819096586.3956,9821323117.772278,-2226531.376678467,-0.022670381067591838,0.8636,0.13639999999999997,-3.639999999999999,3.639999999999999
formal-run-01-CCP30-solution-0117,566725729fb5dd2a4faf50105129897920e9b8d4c0461b057484fb44f32e8a6e,940005,30,makespan,20,0.5,0.20022895296717302,0.04009163360633038,7.84269239764459,0.13991033168212838,56.05513405159331,oos_iqr,0.12440000000000007,0.24722534113516575,0.14146632225654446,0.19434583169585512,507.9125187029807,502.8369687936764,1.0093828068132547,578.1769760555746,570.1001756993667,8.076800356207968,1.416733532190164,0.9542,0.04579999999999995,5.420000000000003,5.420000000000003
formal-run-01-CCP30-solution-0117,566725729fb5dd2a4faf50105129897920e9b8d4c0461b057484fb44f32e8a6e,940005,100,cost,20,0.5,0.14800196016657544,0.021904580213148582,40048.2703045088,0.13811338931477135,289966.60282686725,oos_iqr,0.14799999999999996,0.10004038912265723,0.08537177080050325,0.09270607996158023,11705259.480055675,11674110.903574672,0.26681754814806036,11974291.64328406,11984897.310584156,-10605.667300095782,-0.0884919330158103,0.8936,0.10640000000000005,-0.6400000000000072,0.6400000000000072
