scope,run_id,method,comparison,candidate_count,cost_signed_pct_delta_mean,cost_signed_pct_delta_median,cost_signed_pct_delta_sd,cost_absolute_percentage_error_mean,cost_absolute_percentage_error_median,cost_absolute_percentage_error_sd,makespan_signed_pct_delta_mean,makespan_signed_pct_delta_median,makespan_signed_pct_delta_sd,makespan_absolute_percentage_error_mean,makespan_absolute_percentage_error_median,makespan_absolute_percentage_error_sd,emission_signed_pct_delta_mean,emission_signed_pct_delta_median,emission_signed_pct_delta_sd,emission_absolute_percentage_error_mean,emission_absolute_percentage_error_median,emission_absolute_percentage_error_sd
run,13,CCP30,training q90 vs OOS q90,265,1.0986353186909164,1.057418408334061,0.2082608697036656,1.0986353186909164,1.057418408334061,0.2082608697036656,6.256625862258788,6.657313087601622,2.5737561510873292,6.256625862258788,6.657313087601622,2.5737561510873292,0.0,0.0,0.0,0.0,0.0,0.0
run,14,EV,training direct-expected-input vs OOS mean,277,1.3510780899276484,1.362661746631787,0.18612168029736537,1.3510780899276484,1.362661746631787,0.18612168029736537,14.317182937459576,14.630268994721096,1.5207535238260783,14.317182937459576,14.630268994721096,1.5207535238260783,-3.3714617511282487e-16,0.0,1.6726022233700685e-14,1.2032899635716863e-14,1.769703713190632e-14,1.1599940586542737e-14
run,14,CCP30,training q90 vs OOS q90,253,0.9338177459783504,1.0388426254192753,0.3969725497325399,0.9476669146706364,1.0388426254192753,0.36252835198967376,8.643529906785666,8.87657335366437,1.5342936316564997,8.643529906785666,8.87657335366437,1.5342936316564997,0.0,0.0,0.0,0.0,0.0,0.0
run,15,EV,training direct-expected-input vs OOS mean,268,1.3986012264226926,1.3964341715041737,0.10839696184302663,1.3986012264226926,1.3964341715041737,0.10839696184302663,10.84595560984206,12.694204165289394,4.096729962365616,10.873420719180066,12.694204165289394,4.022988585953657,-1.2904797152251049e-15,0.0,1.5940180230506405e-14,9.891590641303203e-15,0.0,1.2551928145935163e-14
run,15,CCP30,training q90 vs OOS q90,259,1.1188462907383752,1.2233260262481471,0.34936319621968864,1.1188462907383752,1.2233260262481471,0.34936319621968864,6.448617089272708,6.645568244744392,1.3724972824565387,6.448617089272708,6.645568244744392,1.3724972824565387,0.0,0.0,0.0,0.0,0.0,0.0
run,16,EV,training direct-expected-input vs OOS mean,268,1.364713017207959,1.3405619855222684,0.10114407521849818,1.364713017207959,1.3405619855222684,0.10114407521849818,13.466026073580457,13.142608087165183,1.0289108555879243,13.466026073580457,13.142608087165183,1.0289108555879243,1.387813034974244e-15,0.0,1.4975478151710927e-14,9.303089784913568e-15,0.0,1.180366710220336e-14
run,16,CCP30,training q90 vs OOS q90,251,0.41418394072365566,0.42704938432759815,0.40125564557818005,0.49741069345014816,0.4329482174912108,0.29126200517465506,3.3685570140212073,3.21094777119278,3.9306434905014536,4.129718515493463,4.054282970992309,3.1176481511359486,0.0,0.0,0.0,0.0,0.0,0.0
run,17,EV,training direct-expected-input vs OOS mean,272,1.2125994398570477,1.2505423195565089,0.1504088078754996,1.2125994398570477,1.2505423195565089,0.1504088078754996,15.196888676742006,15.230876648224852,1.5094233370511194,15.196888676742006,15.230876648224852,1.5094233370511194,-1.839357722717469e-15,0.0,1.5347163792633773e-14,1.0712843363398414e-14,1.822996505242029e-14,1.1123967705702628e-14
run,17,CCP30,training q90 vs OOS q90,254,1.646333177884168,1.814440195959782,0.49369005935254373,1.646333177884168,1.814440195959782,0.49369005935254373,5.088077593643622,5.106754237723876,2.6060616707296163,5.088077593643622,5.106754237723876,2.6060616707296163,0.0,0.0,0.0,0.0,0.0,0.0
run,18,EV,training direct-expected-input vs OOS mean,226,1.2195183034400021,1.3617235268946764,0.31377801297498337,1.2195183034400021,1.3617235268946764,0.31377801297498337,12.05953884236846,13.812600410139211,5.327928888185447,12.349695624669618,13.812600410139211,4.612249289281277,4.4315941244914336e-16,0.0,1.4687045438432613e-14,1.0031171955122498e-14,0.0,1.0716106402247338e-14
run,18,CCP30,training q90 vs OOS q90,264,0.17276695149534654,0.1717129593018924,0.39342957078326274,0.3580385168811103,0.3289981386526931,0.23679049550202838,6.982422428117259,7.285507117373328,2.092051763780865,6.98296102882766,7.285507117373328,2.0902464488712944,0.0,0.0,0.0,0.0,0.0,0.0
run,19,EV,training direct-expected-input vs OOS mean,267,1.3237173909850866,1.3321546174564995,0.1134101646715473,1.3237173909850866,1.3321546174564995,0.1134101646715473,14.945679874117355,14.946186946641923,1.4217323815120162,14.945679874117355,14.946186946641923,1.4217323815120162,5.045046092273361e-17,0.0,1.9565730077335775e-14,1.583091486844704e-14,1.9665701854669828e-14,1.1456889205966618e-14
run,19,CCP30,training q90 vs OOS q90,274,1.6655738766354706,1.7873796483543458,0.3471636381142116,1.6655738766354706,1.7873796483543458,0.3471636381142116,5.981247786977398,5.977571895997983,3.151365643278277,5.991095713120072,5.977571895997983,3.132534243207765,0.0,0.0,0.0,0.0,0.0,0.0
run,20,EV,training direct-expected-input vs OOS mean,272,1.3269320711042627,1.3284854497161345,0.20038057027250533,1.3269320711042627,1.3284854497161345,0.20038057027250533,15.370463285889826,16.441323216283067,2.952462602171911,15.370463285889826,16.441323216283067,2.952462602171911,1.7775297673861035e-16,0.0,1.501829214064189e-14,8.152579637938774e-15,0.0,1.2604403997044763e-14
run,20,CCP30,training q90 vs OOS q90,271,2.107475123899626,2.170352509674907,0.28142118756882817,2.107475123899626,2.170352509674907,0.28142118756882817,9.124348417774012,9.536117156829098,2.971477307657993,9.286310160919012,9.536117156829098,2.4159493470622815,0.0,0.0,0.0,0.0,0.0,0.0
run,21,EV,training direct-expected-input vs OOS mean,265,1.179453366560364,1.1142372250649304,0.15493524407112919,1.179453366560364,1.1142372250649304,0.15493524407112919,17.93501052752013,18.16286160045587,1.4459641959237899,17.93501052752013,18.16286160045587,1.4459641959237899,-6.437618122070006e-16,0.0,1.6014405320891815e-14,1.0716055047457529e-14,0.0,1.1899931278359803e-14
run,21,CCP30,training q90 vs OOS q90,250,0.7682572874743296,0.798852948620939,0.19316103427946987,0.7682572874743296,0.798852948620939,0.19316103427946987,8.132231908479323,8.155204688351654,2.8813228966834497,8.132231908479323,8.155204688351654,2.8813228966834497,0.0,0.0,0.0,0.0,0.0,0.0
run,22,EV,training direct-expected-input vs OOS mean,268,1.2983515358318003,1.2724417745481622,0.11689989663248807,1.2983515358318003,1.2724417745481622,0.11689989663248807,15.670861534375037,16.148331442258943,1.43486612257326,15.670861534375037,16.148331442258943,1.43486612257326,1.3413463378541162e-15,0.0,1.6917463100586264e-14,1.1438358756251783e-14,9.448278903746308e-15,1.2517205465766581e-14
run,22,CCP30,training q90 vs OOS q90,251,1.2914552585819938,1.2760131085474598,0.4471713272983223,1.2914552585819938,1.2760131085474598,0.4471713272983223,8.326736315147658,8.157006232839603,1.1500662065503988,8.326736315147658,8.157006232839603,1.1500662065503988,0.0,0.0,0.0,0.0,0.0,0.0
run,23,EV,training direct-expected-input vs OOS mean,275,1.1327463463218226,1.159602758164401,0.17305931107111336,1.1327463463218226,1.159602758164401,0.17305931107111336,14.377735689966967,14.528053788416054,1.5865219063283378,14.377735689966967,14.528053788416054,1.5865219063283378,-4.216980377005981e-16,0.0,1.56139077498571e-14,1.2052674187610158e-14,1.7414715964118565e-14,9.90835339631627e-15
run,23,CCP30,training q90 vs OOS q90,270,0.680954672838558,0.6721162613369509,0.8564827009193342,0.8937766741123377,0.680942662658949,0.6302216086597505,5.55131568036629,6.044910517676852,2.9228654889366608,5.555042679299036,6.044910517676852,2.9157495437548007,0.0,0.0,0.0,0.0,0.0,0.0
