method,run_id,source_solution_id,decision_fingerprint,oos_mean_cost,oos_mean_emission,oos_mean_makespan,oos_q90_cost,oos_q90_emission,oos_q90_makespan,global_oos_mean_nondominated,global_oos_q90_nondominated
CCP30,21,formal-run-21-CCP30-solution-0164,850994597a909a40f92158690763aa83568a0d7fe6c3d50a150dcb82438e5e8f,12013273.383893006,10264069480.963335,520.1293427624272,12318462.970164973,10264069480.963335,579.2244095931261,false,false
CCP30,21,formal-run-21-CCP30-solution-0165,7cd02d67bb84f67f0e20b3d0c66724bea14a2587b6df0cdd9b2f6cd4a02c1af3,12136426.553530406,9632388172.62,528.5401454329646,12484706.748534229,9632388172.620003,608.0594040322452,false,false
CCP30,21,formal-run-21-CCP30-solution-0166,fa53b8cc3029fadafa3d5cbee337355e86fdadedff8b130c45265980b8535666,11923955.116194027,10281518006.490341,520.0076202137957,12204690.972764347,10281518006.49034,573.2648548362403,false,false
CCP30,21,formal-run-21-CCP30-solution-0167,4197bf247c306c84ba9a76b4865f2200624c2897bf83cd2a2db7a9e13c298d6b,11944767.62820329,10276635301.930342,521.3861810859237,12221490.935267935,10276635301.930342,579.4636627850306,false,false
CCP30,21,formal-run-21-CCP30-solution-0168,34afb5d0be8ad1528303a48a76672f4fe789ae8714d181b993c9bab92393ceea,11870421.109461514,9742022708.178892,519.5474109994817,12140540.215445457,9742022708.178892,573.0450068387973,false,false
CCP30,21,formal-run-21-CCP30-solution-0169,1460f6f5f3a6d3d47bb413fa3ec482e10347cec4aeb3bb74cbc626c123d55fe9,12155895.361086061,9971535622.00667,525.0951569070917,12523816.66424077,9971535622.006672,608.2256206833019,false,false
CCP30,21,formal-run-21-CCP30-solution-0170,6c9b6dafc9a5aad62655209f759aebcf5893e5c5deb6a1c9852c9e5a5f809ece,11880304.133459812,9663268532.611116,519.9668373640181,12153398.206521187,9663268532.611115,573.3296594795047,false,false
CCP30,21,formal-run-21-CCP30-solution-0171,0263d992d0d691c7ca67ce4a1fbc9b56a31f68b9a062cf17f326fa70925b4b36,12023180.441798184,10042655992.216671,515.9532256246623,12371707.619491933,10042655992.216671,572.625930022502,false,false
CCP30,21,formal-run-21-CCP30-solution-0173,5640a2b046c5b00c7c2dd8098566f253e7764de4cc32ed015eb590439e85cdf7,11918944.04656969,10258198647.156672,518.8577379599473,12184804.171586782,10258198647.15667,572.9812676236962,false,false
CCP30,21,formal-run-21-CCP30-solution-0174,951c909ad41170041ecbfdf8facf215f271ef321eb5be3b56232eb9c2b48954e,11925855.930792749,9622382865.928892,534.0867958174646,12211203.702475496,9622382865.928892,575.133900399076,false,false
